"X1","Area","Length","Width","Area","Length","Width","Area","Length","Width"
"BLOCK1G56",25.9344444444444,10.8538888888889,3.38477777777778,28.248,11.09,3.683,36.0900735277778,1.13441636111111,0.308456194444444
"BLOCK1G57",24.2746666666667,11.2274444444444,3.13533333333333,24.497,11.159,3.162,15.16666925,0.285251777777778,0.1290685
"BLOCK1G58",26.4856,12.2416,3.019,27.891,12.3685,3.167,12.2758784888889,0.264483377777778,0.0859648888888889
"BLOCK1G6",22.4685,11.0167,2.8685,23.0925,11.0975,3.0135,6.59485516666667,0.389684677777778,0.108698055555556
"BLOCK1G60",23.7122,11.377,2.962,24.266,11.4415,3.0035,9.96355284444444,0.303280888888889,0.0902562222222222
"BLOCK1G61",22.9559,10.7667,3.0282,22.2405,11.014,2.9865,12.0080783222222,0.323945344444444,0.104293733333333
"BLOCK1G62",24.5172,11.2074,3.0208,24.726,11.2085,3.101,8.15898706666666,0.351805822222222,0.0812117333333333
"BLOCK1G63",25.0483,11.7208,3.0237,25.229,11.6665,3.038,16.7778415666667,0.298464177777778,0.131686455555556
"BLOCK1G64",23.891,12.2022727272727,2.79154545454545,22.591,12.164,2.673,65.3295552,0.822987818181818,0.729399072727273
"BLOCK1G65",22.1961818181818,11.6478181818182,2.75409090909091,21.882,11.35,2.817,47.9439815636364,0.542701163636364,0.615566090909091
"BLOCK1G66",28.055,12.93,3.1306,28.0005,13.087,3.1625,12.7789115555556,0.486035777777778,0.0676144888888889
"BLOCK1G67",26.5124,12.3147,3.0482,27.8145,12.4905,3.1865,20.8128253777778,0.619809344444445,0.107201288888889
"BLOCK1G68",23.2601,11.3211,2.9312,23.752,11.1755,3.032,15.0376067666667,0.207431655555555,0.111818177777778
"BLOCK1G69",24.3593,11.7664,2.9506,24.108,11.76,2.944,14.8643053444444,0.3994276,0.118017377777778
"BLOCK1G7",24.0794,11.2297,3.0603,24.374,11.383,3.1225,15.5883207111111,0.238608677777778,0.172720455555556
"BLOCK1G70",24.2112727272727,11.7734545454545,2.95063636363636,24.612,11.587,2.954,46.5799744181818,0.777683472727273,0.293892854545454
"BLOCK1G71",23.8593,11.3245,2.9134,23.9175,11.465,2.9785,20.2900100111111,0.588728277777778,0.143514044444444
"BLOCK1G72",24.2139,11.5276,2.9537,24.731,11.425,3.003,11.2903876555556,0.404570488888889,0.0787820111111111
"BLOCK1G75",21.4593,10.6284,2.8179,21.464,10.448,2.853,10.3553353444444,0.449020266666667,0.0842387666666666
"BLOCK1G75N2",24.3812,11.4868,2.961,24.46,11.189,3.0395,12.1893164,0.5722304,0.0993666666666667
"BLOCK1G77",23.7878,11.0497,3.01,23.924,11.0855,3.089,8.27137128888888,0.201945788888889,0.094388
"BLOCK1G78",22.5489090909091,11.3405454545455,2.77527272727273,23.811,11.232,3.001,60.2105828909091,1.03700727272727,0.506611818181818
"BLOCK1G79",26.5959,12.3078,3.1394,26.0235,12.2535,3.1265,40.9681469888889,1.5307744,0.2557076
"BLOCK1G8",24.853,11.2994,3.0869,24.67,11.2725,3.0955,18.1503508888889,0.441173155555556,0.194443211111111
"BLOCK1G81",27.1547,12.713,3.1673,27.1155,12.39,3.1605,25.9657826777778,0.481823333333334,0.178622233333333
"BLOCK1G85",22.7918,11.1108,2.8964,23.5495,11.0915,2.974,12.5456126222222,0.335690622222222,0.124631822222222
"BLOCK1G86",21.7786,10.7229,2.8218,22.0315,10.7905,2.8285,18.9618367111111,0.541987877777778,0.177835733333333
"BLOCK1G87",25.7175,11.976,3.0702,25.4425,12.167,3.0215,21.0621969444444,1.05672333333333,0.169048844444444
"BLOCK1G88",23.8343,11.3339,2.9995,24.356,11.418,3.0895,19.9680144555556,0.841795211111111,0.157873833333333
"BLOCK1G88N2",22.7246,10.9164,3.0339,21.921,10.574,3.029,14.4695464888889,0.617638488888889,0.145604988888889
"BLOCK1G89",25.3737,11.7652,3.1934,25.702,11.494,3.239,15.2872095666667,0.570304622222222,0.132527822222222
"BLOCK1G9",22.0813,10.9359,2.8546,22.136,10.876,2.9385,19.9771642333333,0.629867211111111,0.193351377777778
"BLOCK1G90",19.2896,10.4878,2.5638,19.612,10.5125,2.6035,4.95024737777778,0.235936844444445,0.0630399555555556
"BLOCK1G90N2",21.0961,10.6391,2.823,21.6275,10.723,2.924,14.5447283222222,0.396243211111111,0.150452666666667
"BLOCK1G91",23.8491,11.666,2.8691,23.6485,11.8205,2.913,24.0819014333333,1.09309955555556,0.141937655555556
"BLOCK1G92",23.0401,10.8437,2.9527,23.4625,10.754,3.0525,21.6769081,0.549501788888889,0.229663788888889
"BLOCK1G95",28.1307,11.706,3.4107,28.757,11.744,3.476,24.6044597888889,0.504190666666667,0.175266233333333
"BLOCK1G97",25.7469,12.1098,3.1201,25.985,12.2165,3.132,18.3149196555556,0.545849511111111,0.129754544444444
"BLOCK1G98",21.9143,10.7057,2.9054,21.3995,10.7995,2.9185,11.2309686777778,0.3508229,0.0631453777777778
"BLOCK1G99",23.868,11.8495,2.8746,24.8115,11.9315,2.9305,17.4632466666667,0.766289166666667,0.0842002666666667
"BLOCK1ZAVITAN",22.2225,10.7603,2.9553,22.4995,10.8685,2.9845,18.8448089444444,0.820751122222222,0.149431566666667
"BLOCK239",19.8502,10.9266,2.6141,19.319,10.764,2.5825,9.71034106666667,0.521277822222222,0.0639392111111111
"BLOCK2G1",23.6881,11.652,2.8582,23.6375,11.518,2.839,35.1967958777778,1.33017466666667,0.260410844444444
"BLOCK2G100",26.0329,12.479,2.9574,25.509,12.39,2.9525,23.9179512111111,0.635699111111111,0.1908296
"BLOCK2G102",20.6911,10.4222,2.7046,21.344,10.551,2.7715,20.2060852111111,0.330857288888889,0.1994256
"BLOCK2G103",23.3113,11.2844,2.9388,23.41,11.177,2.9785,21.4559444555556,0.625031377777778,0.148520177777778
"BLOCK2G103N2",19.5351,10.1226,2.7811,18.7085,10.0785,2.8645,11.9122832111111,0.453076933333333,0.124848322222222
"BLOCK2G104",24.8168,12.2493,2.9362,24.827,12.1055,2.964,16.4307488444444,0.330222455555556,0.132615066666667
"BLOCK2G105",21.7806,10.7801,2.8917,21.88,10.7895,2.998,15.1034704888889,0.340324544444444,0.118527788888889
"BLOCK2G106",23.6899,11.2637,2.9897,23.778,11.1745,3.087,12.7216403222222,0.285780233333334,0.155250677777778
"BLOCK2G107",25.2956,11.6959,3.092,23.4075,11.5405,3.0835,23.7261313777778,0.967319655555556,0.165078888888889
"BLOCK2G109",23.5139,11.2854,2.9897,24.2355,11.367,3.142,21.5048067666667,0.428431155555555,0.192566677777778
"BLOCK2G11",24.1887,11.7597,2.8634,23.74,11.8305,2.86,29.5380340111111,0.632202455555556,0.235374711111111
"BLOCK2G110",22.2208,10.4091,3.0232,21.7815,10.337,3.0695,17.1187950666667,0.649158322222222,0.132495733333333
"BLOCK2G111",24.2668,11.4687,3.0323,23.08,11.2125,2.988,16.9744741777778,0.374923344444445,0.132648677777778
"BLOCK2G112",20.9335,10.7464,2.716,21.2655,10.7965,2.775,11.7453373888889,0.509948044444444,0.100269555555556
"BLOCK2G113",26.0057,12.4589,2.9786,25.587,12.3765,3.0185,20.8855689,0.831389655555556,0.118364044444444
"BLOCK2G114",23.9011,11.2776,2.9939,24.082,11.3125,3.033,10.1224438777778,0.559576933333334,0.0598429888888889
"BLOCK2G115",23.1121,11.9692,2.8677,23.0195,12.114,2.787,16.3964361,0.337900177777778,0.162034233333333
"BLOCK2G12",24.7824,11.5415,3.014,25.2425,11.497,3.08,26.8900973777778,0.550941166666667,0.200628444444444
"BLOCK2G13",24.0441818181818,11.9245454545455,2.85881818181818,23.257,11.892,2.875,62.0330303636364,0.823527272727274,0.593599163636364
"BLOCK2G14",25.3155,12.3793,2.9393,25.256,12.385,2.891,17.4304440555556,0.359237566666667,0.124858011111111
"BLOCK2G15",20.8217,10.8171,2.6541,21.229,10.7385,2.7605,11.2067831222222,0.236380322222222,0.103571211111111
"BLOCK2G16",22.9865,10.9094,3.0442,24.92,10.809,3.4625,75.8053391666667,1.14089115555556,0.766431733333333
"BLOCK2G17",21.6319,10.8902,2.7839,21.8975,11.0025,2.853,14.0454858777778,0.359495955555556,0.132530988888889
"BLOCK2G18",25.424,11.2479,3.1798,25.822,11.1925,3.266,12.405206,0.255657211111111,0.0994168444444445
"BLOCK2G19",23.6299,10.8038,3.0327,23.753,10.7505,3.019,28.1677587666667,0.686144400000001,0.169548233333333
"BLOCK2G2",23.511,10.4619,3.1548,23.918,10.565,3.237,18.0735891111111,0.340054544444445,0.176231733333333
"BLOCK2G20",22.6112,10.9128,2.9711,22.5385,10.7405,2.9695,16.9926284,0.867117511111111,0.109201655555556
"BLOCK2G210",23.1384444444444,10.3497777777778,3.18544444444444,23.038,10.248,3.252,12.3972040277778,0.729486194444445,0.0758120277777778
"BLOCK2G22",26.5461,12.4612,3.095,27.499,12.667,3.218,30.6615389888889,1.42250617777778,0.167689111111111
"BLOCK2G23",23.6005,11.3704,2.9278,23.224,11.409,2.855,17.3168531666667,0.357663155555556,0.142876844444444
"BLOCK2G25",25.2612,12.1314,2.9509,24.5865,12.3005,2.969,18.8286339555556,1.65683115555556,0.110002988888889
"BLOCK2G27",25.3291,12.3961,2.8902,25.145,12.6115,2.846,26.9582801,0.463981655555556,0.1905144
"BLOCK2G28",22.4179090909091,10.757,3.02163636363636,23.788,10.693,3.226,30.7556678909091,0.1113164,0.542577454545454
"BLOCK2G29",21.1678181818182,11.2532727272727,2.65436363636364,23.228,11.379,3,53.7490983636364,0.774835418181818,0.578133454545455
"BLOCK2G3",22.1311,10.6729,2.9325,21.967,10.661,2.961,19.9667256555556,0.497259877777778,0.198916722222222
"BLOCK2G30",21.0009090909091,10.6273636363636,2.81136363636364,20.975,10.528,2.928,42.0801950909091,0.824151454545454,0.505817454545455
"BLOCK2G31",23.9420909090909,12.4004545454545,2.81518181818182,23.43,12.284,2.901,44.8309538909091,0.495707472727273,0.448843163636364
"BLOCK2G32",21.8139,11.3205,2.743,21.6175,11.387,2.811,13.4862945444444,0.525277388888889,0.099502
"BLOCK2G33",25.37,12.3698,2.9376,25.4315,12.16,2.998,24.4676984444444,0.756718622222222,0.191756044444445
"BLOCK2G34",25.6284,12.1308,3.0128,25.4485,11.789,3.056,18.8915789333333,0.567636844444445,0.1842164
"BLOCK2G36",25.1262,12.281,2.9714,24.8025,12.253,2.9755,16.9179759555556,0.364899555555555,0.115334711111111
"BLOCK2G37",23.9958,11.5833,3.06,22.4285,11.56,2.997,14.6912810666667,0.245717344444445,0.121708
