sample,dgg,block,germination_date,coleptile_colour,erect_1_5,pigment_1_3,anthesis_date,main_length,main_flag_leaf_width,main_number_of_spikes,number_of_tillers,spike_angle_1_3,weight_10_seeds,seed_area,seed_length,seed_width
1988D227,G70,1,346,1,2,2,482,92,-0.35667494393873245,12,3,1,0.5016,24.2112727272727,11.7734545454545,2.95063636363636
1992A31,G71,1,354,0,1,1,487,59,-0.5108256237659907,11,4,1,0.4138,23.8593,11.3245,2.9134
1992A41,G72,1,NA,NA,1,2,483,71,-0.10536051565782628,15,4,2,0.4301,24.2139,11.5276,2.9537
2002B108,G75,1,347,0,3,2,480,97.5,-0.35667494393873245,12,4,3,0.3341,21.4593,10.6284,2.8179
1992B112,G77,1,345,1,2,2,478,66,-0.2231435513142097,13,5,3,0.3875,23.7878,11.0497,3.01
1996B131,G78,1,NA,NA,2,2,483,79,-0.10536051565782628,12,3,3,0.4421,22.5489090909091,11.3405454545455,2.7752727272727298
1996B132,G79,1,346,1,2,2,476,70.5,-0.2231435513142097,11,5,2,0.431,26.5959,12.3078,3.1394
2016A25,G8,1,348,1,2,2,487,79,-0.10536051565782628,15,3,1,0.408,24.853,11.2994,3.0869
1992D196,G80,1,349,1,2,2,480,91,-0.10536051565782628,13,3,2,0.4389,NA,NA,NA
1996A41,G81,1,346,0,3,2,NA,NA,NA,NA,NA,NA,NA,27.1547,12.713,3.1673
1996B121,G84,1,NA,NA,5,2,481,106.5,0,18,4,3,0.3809,NA,NA,NA
1996B128,G85,1,346,1,2,2,482,80,-0.10536051565782628,13,5,1,0.3748,22.7918,11.1108,2.8964
1996B134,G86,1,345,1,1,2,483,75,-0.10536051565782628,12,4,1,0.4568,21.7786,10.7229,2.8218
1996D219,G88,1,NA,NA,3,3,476,93.5,-0.6931471805599453,16,5,3,0.4561,23.8343,11.3339,2.9995
1984A31,G9,1,345,1,2,2,479,72.5,-0.10536051565782628,13,6,3,0.3746,22.0813,10.9359,2.8546
1996D223,G89,1,345,0,1,2,480,64,-0.35667494393873245,15,7,3,0.3329,25.3737,11.7652,3.1934
2002A14,G90,1,349,1,2,2,486,74.5,0.09531017980432493,13,3,2,0.4432,19.2896,10.4878,2.5638
2002B133,G93,1,345,1,3,3,477,92,0.09531017980432493,13,4,3,0.4857,NA,NA,NA
2002D196,G95,1,345,1,2,2,486,81,0,13,4,1,0.4256,28.1307,11.706,3.4107
2002D220,G96,1,346,1,2,3,489,71,0,14,6,1,0.3938,NA,NA,NA
2002D225,G97,1,345,1,3,3,479,75,0,11,3,1,0.4697,25.7469,12.1098,3.1201
2002A10,G1,2,345,1,2,3,480,88.5,-0.10536051565782628,12,4,2,0.3964,23.6881,11.652,2.8582
1992A35,G10,2,345,0,3,1,476,96,0.09531017980432493,14,5,3,0.4381,NA,NA,NA
2014A35,G98,2,345,1,2,2,480,76.5,-0.5108256237659907,13,4,3,0.474,23.0719,10.5453,3.0464
2014A57,G100,2,344,1,1,2,486,74.5,0,14,4,2,0.3503,26.0329,12.479,2.9574
2014D194,G87,2,345,0,2,1,473,87,0.1823215567939546,13,4,2,0.4655,26.5681,12.4249,3.0577
2018D220,G101,2,346,1,2,2,480,79,-0.10536051565782628,13,3,2,0.4225,NA,NA,NA
2018A35,G102,2,345,1,2,2,483,86,-0.10536051565782628,12,4,3,0.3921,20.6911,10.4222,2.7046
2016A41,G103,2,345,1,1,1,481,73.5,-0.5108256237659907,13,4,3,0.4147,23.3113,11.2844,2.9388
